Treatments,Time,G,A,GG,AA,GA/AG,GAG/GGA/AGG,GGG,GGGG,AAG/AGA/GAA,AAA
2/20/1940,1,0.02,0.04,0,0,0,0,0,0,0,0
2/20/1950,1,0.02,0.05,0,0,0,0,0,0,0,0
2/20/1960,1,0.02,0.06,0,0,0,0,0,0,0,0
2/20/1970,1,0.02,0.07,0,0,0,0,0,0,0,0
2/20/1980,1,0.02,0.08,0,0,0,0,0,0,0,0
2/20/1990,1,0.02,0.09,0,0,0,0,0,0,0,0
2-20-100,1,0.02,0.1,0,0,0,0,0,0,0,0
2-30-0,1,0.03,0,0,0,0,0,0,0,0,0
2-30-10,1,0.03,0.01,0,0,0,0,0,0,0,0
2-30-20,1,0.03,0.02,0,0,0,0,0,0,0,0
2-30-30,1,0.03,0.03,0,0,0,0,0,0,0,0
2-30-40,1,0.03,0.04,0,0,0,0,0,0,0,0
2-30-50,1,0.03,0.05,0,0,0,0,0,0,0,0
2-30-60,1,0.03,0.06,0,0,0,0,0,0,0,0
2-30-70,1,0.03,0.07,0,0,0,0,0,0,0,0
2-30-80,1,0.03,0.08,0,0,0,0,0,0,0,0
2-30-90,1,0.03,0.09,0,0,0,0,0,0,0,0
2-30-100,1,0.03,0.1,0,0,0,0,0,0,0,0
2-40-0,1,0.04,0,0,0,0,0,0,0,0,0
2-40-10,1,0.04,0.01,0,0,0,0,0,0,0,0
2-40-20,1,0.04,0.02,0,0,0,0,0,0,0,0
2-40-30,1,0.04,0.03,0,0,0,0,0,0,0,0
2-40-40,1,0.04,0.04,0,0,0,0,0,0,0,0
2-40-50,1,0.04,0.05,0,0,0,0,0,0,0,0
2-40-60,1,0.04,0.06,0,0,0,0,0,0,0,0
2-40-70,1,0.04,0.07,0,0,0,0,0,0,0,0
2-40-80,1,0.04,0.08,0,0,0,0,0,0,0,0
2-40-90,1,0.04,0.09,0,0,0,0,0,0,0,0
2-40-100,1,0.04,0.1,0,0,0,0,0,0,0,0
2-50-10,1,0.05,0.01,0,0,0,0,0,0,0,0
2-50-20,1,0.05,0.02,0,0,0,0,0,0,0,0
2-50-30,1,0.05,0.03,0,0,0,0,0,0,0,0
2-50-40,1,0.05,0.04,0,0,0,0,0,0,0,0
2-50-50,1,0.05,0.05,0,0,0,0,0,0,0,0
2-50-60,1,0.05,0.06,0,0,0,0,0,0,0,0
2-50-70,1,0.05,0.07,0,0,0,0,0,0,0,0
2-50-80,1,0.05,0.08,0,0,0,0,0,0,0,0
2-50-90,1,0.05,0.09,0,0,0,0,0,0,0,0
2-50-100,1,0.05,0.1,0,0,0,0,0,0,0,0
2-60-0,1,0.06,0,0,0,0,0,0,0,0,0
2-60-10,1,0.06,0.01,0,0,0,0,0,0,0,0
2-60-20,1,0.06,0.02,0,0,0,0,0,0,0,0
2-60-30,1,0.06,0.03,0,0,0,0,0,0,0,0
2-60-40,1,0.06,0.04,0,0,0,0,0,0,0,0
2-60-50,1,0.06,0.05,0,0,0,0,0,0,0,0
2-60-60,1,0.06,0.06,0,0,0,0,0,0,0,0
2-60-70,1,0.06,0.07,0,0,0,0,0,0,0,0
2-60-80,1,0.06,0.08,0,0,0,0,0,0,0,0
2-60-90,1,0.06,0.09,0,0,0,0,0,0,0,0
2-60-100,1,0.06,0.1,0,0,0,0,0,0,0,0
2-70-0,1,0.07,0,0,0,0,0,0,0,0,0
2-70-10,1,0.07,0.01,0,0,0,0,0,0,0,0
2-70-20,1,0.07,0.02,0,0,0,0,0,0,0,0
2-70-30,1,0.07,0.03,0,0,0,0,0,0,0,0
2-70-40,1,0.07,0.04,0,0,0,0,0,0,0,0
2-70-50,1,0.07,0.05,0,0,0,0,0,0,0,0
2-70-60,1,0.07,0.06,0,0,0,0,0,0,0,0
2-70-70,1,0.07,0.07,0,0,0,0,0,0,0,0
2-70-80,1,0.07,0.08,0,0,0,0,0,0,0,0
2-70-90,1,0.07,0.09,0,0,0,0,0,0,0,0
2-70-100,1,0.07,0.1,0,0,0,0,0,0,0,0
2-80-0,1,0.08,0,0,0,0,0,0,0,0,0
2-80-10,1,0.08,0.01,0,0,0,0,0,0,0,0
2-80-20,1,0.08,0.02,0,0,0,0,0,0,0,0
2-80-30,1,0.08,0.03,0,0,0,0,0,0,0,0
2-80-40,1,0.08,0.04,0,0,0,0,0,0,0,0
2-80-50,1,0.08,0.05,0,0,0,0,0,0,0,0
2-80-60,1,0.08,0.06,0,0,0,0,0,0,0,0
2-80-70,1,0.08,0.07,0,0,0,0,0,0,0,0
2-80-80,1,0.08,0.08,0,0,0,0,0,0,0,0
2-80-90,1,0.08,0.09,0,0,0,0,0,0,0,0
2-80-100,1,0.08,0.1,0,0,0,0,0,0,0,0
2-90-0,1,0.09,0,0,0,0,0,0,0,0,0
2-90-10,1,0.09,0.01,0,0,0,0,0,0,0,0
2-90-20,1,0.09,0.02,0,0,0,0,0,0,0,0
2-90-30,1,0.09,0.03,0,0,0,0,0,0,0,0
2-90-40,1,0.09,0.04,0,0,0,0,0,0,0,0
2-90-50,1,0.09,0.05,0,0,0,0,0,0,0,0
2-90-60,1,0.09,0.06,0,0,0,0,0,0,0,0
2-90-70,1,0.09,0.07,0,0,0,0,0,0,0,0
2-90-80,1,0.09,0.08,0,0,0,0,0,0,0,0
2-90-90,1,0.09,0.09,0,0,0,0,0,0,0,0
2-90-100,1,0.09,0.1,0,0,0,0,0,0,0,0
2-100-0,1,0.1,0,0,0,0,0,0,0,0,0
2-100-10,1,0.1,0.01,0,0,0,0,0,0,0,0
2-100-20,1,0.1,0.02,0,0,0,0,0,0,0,0
2-100-30,1,0.1,0.03,0,0,0,0,0,0,0,0
2-100-40,1,0.1,0.04,0,0,0,0,0,0,0,0
2-100-50,1,0.1,0.05,0,0,0,0,0,0,0,0
2-100-60,1,0.1,0.06,0,0,0,0,0,0,0,0
2-100-70,1,0.1,0.07,0,0,0,0,0,0,0,0
2-100-80,1,0.1,0.08,0,0,0,0,0,0,0,0
2-100-90,1,0.1,0.09,0,0,0,0,0,0,0,0
2-100-100,1,0.1,0.1,0,0,0,0,0,0,0,0
2-0-0,2,0,0,0,0,0,0,0,0,0,0
2-0-10,2,0,0.01,0,0,0,0,0,0,0,0
2-0-20,2,0,0.02,0,0,0,0,0,0,0,0
2-0-30,2,0,0.03,0,0,0,0,0,0,0,0
2-0-40,2,0,0.04,0,0,0,0,0,0,0,0
2-0-50,2,0,0.05,0,0,0,0,0,0,0,0
2-0-60,2,0,0.06,0,0,0,0,0,0,0,0
2-0-70,2,0,0.07,0,0,0,0,0,0,0,0
2-0-80,2,0,0.08,0,0,0,0,0,0,0,0
2-0-90,2,0,0.09,0,0,0,0,0,0,0,0
2-0-100,2,0,0.1,0,0,0,0,0,0,0,0
2/10/2000,2,0.01,0,0,0,0,0,0,0,0,0
2/10/2010,2,0.01,0.01,0,0,0,0,0,0,0,0
2/10/2020,2,0.01,0.02,0,0,0,0,0,0,0,0
2/10/1930,2,0.01,0.03,0,0,0,0,0,0,0,0
2/10/1940,2,0.01,0.04,0,0,0,0,0,0,0,0
2/10/1950,2,0.01,0.05,0,0,0,0,0,0,0,0
2/10/1960,2,0.01,0.06,0,0,0,0,0,0,0,0
2/10/1970,2,0.01,0.07,0,0,0,0,0,0,0,0
2/10/1980,2,0.01,0.08,0,0,0,0,0,0,0,0
2/10/1990,2,0.01,0.09,0,0,0,0,0,0,0,0
2-10-100,2,0.01,0.1,0,0,0,0,0,0,0,0
2/20/2000,2,0.02,0,0,0,0,0,0,0,0,0
2/20/2010,2,0.02,0.01,0,0,0,0,0,0,0,0
2/20/2020,2,0.02,0.02,0,0,0,0,0,0,0,0
2/20/1930,2,0.02,0.03,0,0,0,0,0,0,0,0
2/20/1940,2,0.02,0.04,0,0,0,0,0,0,0,0
2/20/1950,2,0.02,0.05,0,0,0,0,0,0,0,0
2/20/1960,2,0.02,0.06,0,0,0,0,0,0,0,0
2/20/1970,2,0.02,0.07,0,0,0,0,0,0,0,0
2/20/1980,2,0.02,0.08,0,0,0,0,0,0,0,0
2/20/1990,2,0.02,0.09,0,0,0,0,0,0,0,0
2-20-100,2,0.02,0.1,0,0,0,0,0,0,0,0
2-30-0,2,0.03,0,0,0,0,0,0,0,0,0
2-30-10,2,0.03,0.01,0,0,0,0,0,0,0,0
2-30-20,2,0.03,0.02,0,0,0,0,0,0,0,0
2-30-30,2,0.03,0.03,0,0,0,0,0,0,0,0
2-30-40,2,0.03,0.04,0,0,0,0,0,0,0,0
2-30-50,2,0.03,0.05,0,0,0,0,0,0,0,0
2-30-60,2,0.03,0.06,0,0,0,0,0,0,0,0
2-30-70,2,0.03,0.07,0,0,0,0,0,0,0,0
2-30-80,2,0.03,0.08,0,0,0,0,0,0,0,0
2-30-90,2,0.03,0.09,0,0,0,0,0,0,0,0
2-30-100,2,0.03,0.1,0,0,0,0,0,0,0,0
2-40-0,2,0.04,0,0,0,0,0,0,0,0,0
2-40-10,2,0.04,0.01,0,0,0,0,0,0,0,0
2-40-20,2,0.04,0.02,0,0,0,0,0,0,0,0
2-40-30,2,0.04,0.03,0,0,0,0,0,0,0,0
2-40-40,2,0.04,0.04,0,0,0,0,0,0,0,0
2-40-50,2,0.04,0.05,0,0,0,0,0,0,0,0
2-40-60,2,0.04,0.06,0,0,0,0,0,0,0,0
2-40-70,2,0.04,0.07,0,0,0,0,0,0,0,0
2-40-80,2,0.04,0.08,0,0,0,0,0,0,0,0
2-40-90,2,0.04,0.09,0,0,0,0,0,0,0,0
2-40-100,2,0.04,0.1,0,0,0,0,0,0,0,0
2-50-0,2,0.05,0,0,0,0,0,0,0,0,0
2-50-10,2,0.05,0.01,0,0,0,0,0,0,0,0
2-50-20,2,0.05,0.02,0,0,0,0,0,0,0,0
2-50-30,2,0.05,0.03,0,0,0,0,0,0,0,0
2-50-40,2,0.05,0.04,0,0,0,0,0,0,0,0
2-50-50,2,0.05,0.05,0,0,0,0,0,0,0,0
2-50-60,2,0.05,0.06,0,0,0,0,0,0,0,0
2-50-70,2,0.05,0.07,0,0,0,0,0,0,0,0
2-50-80,2,0.05,0.08,0,0,0,0,0,0,0,0
2-50-90,2,0.05,0.09,0,0,0,0,0,0,0,0
2-50-100,2,0.05,0.1,0,0,0,0,0,0,0,0
2-60-0,2,0.06,0,0,0,0,0,0,0,0,0
2-60-10,2,0.06,0.01,0,0,0,0,0,0,0,0
2-60-20,2,0.06,0.02,0,0,0,0,0,0,0,0
2-60-30,2,0.06,0.03,0,0,0,0,0,0,0,0
2-60-40,2,0.06,0.04,0,0,0,0,0,0,0,0
2-60-50,2,0.06,0.05,0,0,0,0,0,0,0,0
2-60-60,2,0.06,0.06,0,0,0,0,0,0,0,0
2-60-70,2,0.06,0.07,0,0,0,0,0,0,0,0
2-60-80,2,0.06,0.08,0,0,0,0,0,0,0,0
2-60-90,2,0.06,0.09,0,0,0,0,0,0,0,0
2-60-100,2,0.06,0.1,0,0,0,0,0,0,0,0
2-70-0,2,0.07,0,0,0,0,0,0,0,0,0
2-70-10,2,0.07,0.01,0,0,0,0,0,0,0,0
2-70-20,2,0.07,0.02,0,0,0,0,0,0,0,0
2-70-30,2,0.07,0.03,0,0,0,0,0,0,0,0
