Param name,Param value,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22
k11,5.898527994215688,-0.004971775683154295,-0.0033376679807290053,-0.0005599248181245679,-0.00044369489720646636,0.0010970836788563123,0.000713657424969948,-0.011447450897482649,-0.006042248154540098,0.0028450856018878467,0.0007174017006375504,0.03219905662601641,0.008850012381412795,-0.01647422709377435,-0.0016110911408170549,0.09654256259338839,0.0444051857061666,0.011699544160008169,0.002635978565959929,-0.001656062756973704,-0.0005347618999574811,4.05630622798691e-05,2.07217508538234e-05
k12,1.2684223795623528,-0.0013665258192074245,-0.0009192788306767131,-0.00010744275730863867,-8.560110948453061e-05,8.056760209956037e-05,4.7065396324795706e-05,-0.0013600869239155746,-0.0008724543044531781,0.0007915530404662594,0.00021679431659718494,0.008850012381412795,0.0025008655625500184,-0.00453559432253766,-0.0005126930052129467,0.02339822882815769,0.010844751967804394,0.0036120687979089854,0.0008299684634243644,-0.0007917004065922039,-0.00023394364410719956,8.904487104032902e-06,4.4538565115084715e-06
k13,4.585495853902764,0.0005379082545866581,0.00036212498095223715,0.00021384776222267032,0.00016752948376546242,-0.002404356659028953,-0.0016440211154089405,0.01171063882267679,0.005401461204926992,-0.001168951854461646,-0.0002841915735835755,-0.01647422709377435,-0.00453559432253766,0.009265713524233794,0.0009429697374485032,-0.05693265907675364,-0.025779917058730763,-0.003115878792602807,-0.0007259674897445486,-0.000294940821357849,-2.4643805710138416e-05,-1.569349293580328e-05,-8.477039260501748e-06
k14,0.9398085303257135,-1.1491810772477693e-05,-6.328299361793936e-06,-2.972808470832404e-05,-2.3357593983897265e-05,-6.226365166741653e-05,-4.520414207685898e-05,-0.0004524970018766283,-0.00018119893759639655,-0.00011444867032432788,-4.473742719371751e-05,-0.0016110911408170549,-0.0005126930052129467,0.0009429697374485032,0.00016715231461190776,-0.0027009205679414975,-0.0012767618566443596,-0.000649161711022059,-0.00016430163509133548,0.0002945381759299271,8.01057112914971e-05,9.981468850057532e-07,5.442748047138663e-07
k15,5.678096933948383,0.016927620962898102,0.012079907085143237,0.0009967421708415645,0.00039462375246624614,-0.3582877316023787,-0.2440322406068237,-1.276538275026792,-0.5861293215815075,0.004190790964677127,6.599253150151973e-05,0.09654256259338839,0.02339822882815769,-0.05693265907675364,-0.0027009205679414975,3.249212511970099,1.4702349086289557,0.17078911345314401,0.03381741656083409,-0.06629844354315209,-0.013392209128805625,-7.403903150302436e-05,-7.363103407326653e-05
k16,1.9269175168564205,0.006559878691041418,0.004811414283730359,0.0016670568651590758,0.0011855147012569548,-0.18734221025910935,-0.12832529054022787,-0.5770786729817665,-0.27082805385061515,0.00207067128212612,9.228367714226691e-05,0.0444051857061666,0.010844751967804394,-0.025779917058730763,-0.0012767618566443596,1.4702349086289557,0.6713312012507889,0.08622667854567488,0.018283133857797416,-0.03775584108135023,-0.009074246406427122,-0.00013051089099968486,-8.450493809674636e-05
k17,7.45804643137378,-0.011258936477297032,-0.007198563617235576,0.030947347824953494,0.025028861637311772,-0.16678015366097454,-0.11288454014375413,0.11563500386241499,0.04295910844847134,0.002321860050137843,0.000732720506968595,0.011699544160008169,0.0036120687979089854,-0.003115878792602807,-0.000649161711022059,0.17078911345314401,0.08622667854567488,1.4869801066048989,0.31235259979362884,-0.6475030695991746,-0.15836563173438079,-0.0022045949281144566,-0.0011166116720622253
k18,1.5537798959668654,-0.002450389393277444,-0.0015673732945261508,0.006487773007470115,0.005263873887157718,-0.03738412891491896,-0.025469982497371896,0.025021132197893294,0.008344863435019676,0.0005147105579057336,0.00016744450694841832,0.002635978565959929,0.0008299684634243644,-0.0007259674897445486,-0.00016430163509133548,0.03381741656083409,0.018283133857797416,0.31235259979362884,0.06634839286143313,-0.13605074251771865,-0.03383121849378594,-0.0004639131588540016,-0.0002347159850969822
k19,4.784126375606609,0.004577252351571974,0.0028505762695858394,-0.02332085386776207,-0.018866294471558746,0.11592370836561869,0.07898883234834013,-0.06983873709711927,-0.02366703117869282,-0.0006843226595782954,-0.00027545547441284177,-0.001656062756973704,-0.0007917004065922039,-0.000294940821357849,0.0002945381759299271,-0.06629844354315209,-0.03775584108135023,-0.6475030695991746,-0.13605074251771865,0.3211506182163595,0.07892730744378398,0.0016387956960459498,0.0008109056750104638
k20,1.145288393135122,0.0012079284170710119,0.0007513464909207823,-0.005842809369267435,-0.004752735688248703,0.031043347241957935,0.021332219411159453,-0.018273508543671817,-0.0052594995453017586,-0.0001869790335958629,-7.43480566930016e-05,-0.0005347618999574811,-0.00023394364410719956,-2.4643805710138416e-05,8.01057112914971e-05,-0.013392209128805625,-0.009074246406427122,-0.15836563173438079,-0.03383121849378594,0.07892730744378398,0.01990789008914304,0.0004220174971583359,0.00020775277640299676
k21,2.051908492588937,-9.808416090186513e-06,-8.645218819719698e-06,-0.0004223000424974949,-0.0003496143163363133,0.001058692019149399,0.0007336927460901606,-0.0004366454305346348,-9.535009483758843e-05,5.388756673106686e-06,9.047494105777052e-07,4.05630622798691e-05,8.904487104032902e-06,-1.569349293580328e-05,9.981468850057532e-07,-7.403903150302436e-05,-0.00013051089099968486,-0.0022045949281144566,-0.0004639131588540016,0.0016387956960459498,0.0004220174971583359,3.923706988597527e-05,1.8918604999551106e-05
k22,1.0237044680793763,-4.040671436921564e-06,-3.7753228514334146e-06,-0.0002013801277417389,-0.00016624847848836262,0.0005584824626437234,0.00038671784025342886,-0.00019658318344033994,-3.520028603869388e-05,2.6037376925363964e-06,3.9594777957873503e-07,2.07217508538234e-05,4.4538565115084715e-06,-8.477039260501748e-06,5.442748047138663e-07,-7.363103407326653e-05,-8.450493809674636e-05,-0.0011166116720622253,-0.0002347159850969822,0.0008109056750104638,0.00020775277640299676,1.8918604999551106e-05,9.31747173284866e-06
